"UNIQUE","HORA08"
1,1.6
2,7.8
3,6.3
4,7.8
5,5.3
6,2.2
7,1.9
8,7.5
9,6.9
11,5.8
13,3.2
14,1.9
15,7.8
17,8.3
19,8.95
20,4.9
21,1.1
23,5.5
24,6.9
25,6.2
27,4
28,1.8
29,6.3
30,7.1
32,5
34,3.6
35,3
36,0.8
37,1.9
38,6.2
39,8.1
40,6.3
41,1.3
42,1.8
43,4.4
44,3.2
45,6.5
47,6.1
48,3
49,2
50,5
51,3.5
52,6.8
53,4.3
54,5.8
55,2.3
56,2.2
57,2.25
58,5.6
59,5.8
60,5.7
62,2.7
63,0.8
64,7.4
65,5.2
66,4.1
67,4.4
68,2.9
69,2.2
70,1
71,5
73,6.6
74,6.5
75,6
76,5.9
78,4.8
79,8.7
80,4.7
81,1.4
82,3.5
83,3.4
84,3.9
85,4.2
87,5.1
89,7.8
90,3.2
91,1.5
92,3.7
93,3.4
94,2.8
95,0.5
96,0.7
97,0.7
98,0.7
99,3.2
100,2.1
101,6.1
102,5.1
103,5.4
104,4.3
105,2
106,6.6
107,4.5
108,5.5
110,6.7
111,5.6
112,2.5
113,2.7
114,4.5
115,2.6
116,3.6
117,6
118,4.1
119,1.1
120,5.7
121,6
123,4.4
124,4.9
125,4.1
126,4.1
127,7.1
128,6.3
129,8.4
130,7.6
131,6.1
132,4
133,1.4
134,4.4
135,4.4
136,4.2
137,4
138,3.3
139,3.9
140,2.7
141,3.8
142,2.1
143,5.1
144,1.6
145,3.8
146,4.4
148,1.5
149,0.85
150,1.175
151,1.0125
152,1.09375
153,1.053125
154,1.0734375
155,1.0632812500000002
156,1.068359375
157,1.0658203125
158,1.06708984375
159,1.0664550781250002
160,1.0667724609375
161,1.06661376953125
162,1.066693115234375
163,1.0666534423828127
164,1.0666732788085938
165,1.6
166,3.2
167,2.4000000000000004
169,2.9
170,2.3
171,2.9
172,1.9
173,1.4
174,1.2
175,1.2999999999999998
176,1.4
177,1.3499999999999999
178,1.7
179,1.525
180,2.6
181,1.1
183,2.4
184,1.4
185,3.3
186,1.8
187,2.55
190,1.6
191,2.7
192,2.3
193,1.2
194,1.8
195,2
197,2.7
198,0.9
199,0.8
200,0.8500000000000001
201,2.7
202,1.8
205,1.2
206,1.7
207,1.45
208,3.9
210,2.05
211,2.4
212,1.6
213,2
214,2
215,1
216,1.9
217,0.6
218,2
219,1.8
220,2.9
221,0.6
222,1.75
223,2.1
224,1
225,2.1
226,1.7
227,2
228,2.8
229,2.7
230,1.8
231,1.8
232,1.7
233,2.8
234,3.4
235,3.3
236,1.9
237,1.5
238,1.1
239,3.5
240,3.3
241,4
242,2.1
243,3.05
244,1.6
246,2.9
247,3.1
248,3.2
249,1.9
250,2.3
251,2.5
252,1.5
253,4.7
254,3.6
255,4.8
256,3.7
257,3.6
258,1.7
260,1.5
261,2.9
262,3.3
263,3.9
264,3.5999999999999996
265,1.6
266,0.9
267,1.8
268,4
269,3.3
270,6.5
271,4.7
272,3.2
273,3.95
274,3.575
275,4.3
276,3.4
277,3.8499999999999996
278,3
279,3.9
281,3.9
282,1.8
283,2.4
284,2.6
285,3.3
286,2.2
287,0.9
288,4.3
289,5.9
290,4.9
291,5.4
292,5.15
293,2.1
294,1
295,1.55
296,4.8
297,6
298,6.9
299,3.9
300,3.7
301,3.8
302,1.5
303,2.65
304,5.5
305,3.6
306,4.7
307,4.9
308,3.1
309,6.5
310,8.3
311,5.1
312,6.7
313,8.9
314,3
315,5.95
316,7.3
317,6.625
318,6
319,6.3125
320,5.2
321,3
322,2
323,7.3
324,8.3
325,2.3
326,5.300000000000001
327,3.8000000000000003
328,4.1
329,6.7
330,5.5
331,7.3
332,4.9
333,4.6
334,7.3
335,4.1
336,1.7
337,7
338,7.7
339,5.8
340,7.2
342,5.5
343,7.45
344,6.475
345,4.1
346,7.8
347,5.2
348,6.4
349,3.9
350,3.2
351,6.1
352,8.2
353,8.6
354,5.6
355,5.1
356,4.9
357,4.3
358,4
359,5.7
360,2.5
361,3.4
362,2.9
363,3
364,1.8
365,3.5
366,3.1
